act,scene,character,line,word_count,neg,neu,pos,compound
,,HAMLET,"by William Shakespeare Edited by Barbara A. Mowat and Paul Werstine with Michael Poston and Rebecca Niles Folger Shakespeare Library https://shakespeare.folger.edu/shakespeares-works/hamlet/ Created on Jul 31, 2015, from FDT version 0.9.2 Characters in the Play ====================== THE GHOST",37,0.073,0.821,0.106,0.0943
,,HAMLET,"Prince of Denmark, son of the late King Hamlet and Queen Gertrude",12,0.0,1.0,0.0,0.0
,,LAERTES,her brother,2,0.0,1.0,0.0,0.0
,,POLONIUS,"father of Ophelia and Laertes, councillor to King Claudius REYNALDO, servant to Polonius",13,0.0,1.0,0.0,0.0
1.0,1.0,HORATIO,"Hamlet's friend and confidant Courtiers at the Danish court: VOLTEMAND CORNELIUS ROSENCRANTZ GUILDENSTERN OSRIC Gentlemen A Lord Danish soldiers: FRANCISCO BARNARDO MARCELLUS FORTINBRAS, Prince of Norway A Captain in Fortinbras's army Ambassadors to Denmark from England Players who take the roles of Prologue, Player King, Player Queen, and Lucianus in <title>The Murder of Gonzago</title> Two Messengers Sailors Gravedigger Gravedigger's companion Doctor of Divinity Attendants, Lords, Guards, Musicians, Laertes's Followers, Soldiers, Officers ===== ======= BARNARDO  Who's there? FRANCISCO Nay, answer me. Stand and unfold yourself. BARNARDO  Long live the King! FRANCISCO  Barnardo? BARNARDO  He. FRANCISCO You come most carefully upon your hour. BARNARDO 'Tis now struck twelve. Get thee to bed, Francisco. FRANCISCO For this relief much thanks. 'Tis bitter cold, And I am sick at heart. BARNARDO  Have you had quiet guard? FRANCISCO  Not a mouse stirring. BARNARDO  Well, good night. If you do meet Horatio and Marcellus, The rivals of my watch, bid them make haste. FRANCISCO I think I hear them.--Stand ho! Who is there?",167,0.069,0.813,0.118,0.8386
1.0,1.0,HORATIO,"Friends to this ground. MARCELLUS  And liegemen to the Dane. FRANCISCO  Give you good night. MARCELLUS O farewell, honest soldier. Who hath relieved you? FRANCISCO Barnardo hath my place. Give you good night. MARCELLUS  Holla, Barnardo. BARNARDO  Say, what, is Horatio there?",42,0.0,0.704,0.296,0.9344
1.0,1.0,HORATIO,"A piece of him. BARNARDO Welcome, Horatio.--Welcome, good Marcellus.",9,0.0,0.504,0.496,0.7096
1.0,1.0,HORATIO,"What, has this thing appeared again tonight? BARNARDO  I have seen nothing. MARCELLUS",13,0.0,1.0,0.0,0.0
1.0,1.0,HORATIO,"says 'tis but our fantasy And will not let belief take hold of him Touching this dreaded sight twice seen of us. Therefore I have entreated him along With us to watch the minutes of this night, That, if again this apparition come, He may approve our eyes and speak to it.",52,0.108,0.892,0.0,-0.7942
1.0,1.0,HORATIO,"Tush, tush, 'twill not appear. BARNARDO  Sit down awhile, And let us once again assail your ears, That are so fortified against our story, What we have two nights seen.",30,0.0,1.0,0.0,0.0
1.0,1.0,HORATIO,"Well, sit we down, And let us hear Barnardo speak of this. BARNARDO  Last night of all, When yond same star that's westward from the pole Had made his course t' illume that part of heaven Where now it burns, Marcellus and myself, The bell then beating one-- MARCELLUS Peace, break thee off! Look where it comes again. BARNARDO In the same figure like the King that's dead. MARCELLUS, Thou art a scholar. Speak to it, Horatio. BARNARDO Looks he not like the King? Mark it, Horatio.",87,0.073,0.786,0.141,0.7088
1.0,1.0,HORATIO,"Most like. It harrows me with fear and wonder. BARNARDO It would be spoke to. MARCELLUS  Speak to it, Horatio.",20,0.133,0.75,0.116,-0.1045
1.0,1.0,HORATIO,"What art thou that usurp'st this time of night, Together with that fair and warlike form In which the majesty of buried Denmark Did sometimes march? By heaven, I charge thee, speak. MARCELLUS It is offended. BARNARDO  See, it stalks away.",41,0.045,0.83,0.126,0.5574
1.0,1.0,HORATIO,"Stay! speak! speak! I charge thee, speak! MARCELLUS  'Tis gone and will not answer. BARNARDO How now, Horatio, you tremble and look pale. Is not this something more than fantasy? What think you on 't?",35,0.099,0.901,0.0,-0.5615
1.0,1.0,HORATIO,"Before my God, I might not this believe Without the sensible and true avouch Of mine own eyes. MARCELLUS  Is it not like the King?",25,0.075,0.75,0.175,0.4195
1.0,1.0,HORATIO,"As thou art to thyself. Such was the very armor he had on When he the ambitious Norway combated. So frowned he once when, in an angry parle, He smote the sledded Polacks on the ice. 'Tis strange. MARCELLUS Thus twice before, and jump at this dead hour, With martial stalk hath he gone by our watch.",57,0.154,0.799,0.047,-0.7978
